<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
seg	2610
id	1305
und	553
die	533
der	342
zu	331
in	323
ich	295
ist	269
das	222
nicht	221
sie	216
den	194
wir	188
dass	186
es	184
von	183
Ich	167
ein	166
mit	164
eine	161
wie	152
sich	138
Sie	125
war	121
auf	117
sind	116
für	107
als	105
dem	103
an	99
er	98
einen	91
uns	90
um	80
so	80
aber	79
haben	79
Das	77
Es	76
über	75
was	74
im	74
diese	73
Und	71
Aber	71
oder	71
man	70
wenn	69
hat	64
mich	64
Wir	64
können	63
aus	61
einer	60
mir	57
des	57
kann	56
auch	55
habe	54
Die	54
nur	51
einem	51
sein	51
Leute	49
werden	48
vor	47
sehr	47
Er	45
meine	44
gibt	43
zum	41
nach	41
ihre	40
also	39
wird	38
etwas	38
noch	38
weil	37
ihr	37
keine	37
wurde	36
viel	36
Zeit	35
dann	35
Menschen	35
Wenn	34
eines	34
alle	33
Welt	33
mehr	32
Eifersucht	32
anderen	31
doc	30
In	30
diesem	30
Leben	30
hatte	30
wirklich	30
dieser	30
immer	30
Der	30
diesen	29
ern	28
würde	28
Vertrauen	28
Was	27
Stadt	27
Geschichte	27
am	27
da	26
seine	26
du	26
bei	25
drei	24
wäre	24
durch	24
gut	24
Jahre	24
Jahren	24
hier	24
zusammen	24
müssen	24
bin	24
selbst	23
Dinge	23
unsere	23
weiß	22
meiner	22
bedeutet	21
wollte	21
sagte	21
wissen	21
Probleme	20
mein	20
euch	20
machen	20
Wie	20
Gedächtnis	20
sagt	19
Arbeit	19
zur	19
sagen	19
zwei	19
damit	19
Also	19
ersten	18
einfach	18
hatten	18
unter	18
vielleicht	18
möchte	18
denken	18
geht	18
waren	18
dir	18
nie	18
ihnen	18
finden	18
Jahr	18
dieses	17
Kinder	17
Als	17
Frau	17
meinem	17
sehen	17
denn	17
schon	17
Tag	17
gab	17
muss	17
New	17
Durchhaltevermögen	17
kam	16
nichts	16
sogar	16
tun	16
darüber	16
denke	16
Mann	16
geben	16
Ihnen	16
lernen	16
welche	16
ihm	16
Schriftzeichen	16
docid	15
